x,y,class
0,0,0
0.00335276,0.0094212,0
0.00373666,0.0196478,0
-0.00435774,0.0296818,0
0.00556223,0.0396114,0
0.0347284,0.0359713,0
0.0197507,0.0566561,0
0.0592097,0.0373391,0
0.0557166,0.0574078,0
0.0872715,0.0219928,0
0.0501075,0.0865404,0
0.108886,0.0156145,0
0.0982074,0.0689587,0
0.118315,0.0538672,0
0.135722,0.0343446,0
0.147102,-0.0293444,0
0.153738,-0.0443225,0
0.163279,-0.0473289,0
0.175589,-0.039606,0
0.180203,-0.060223,0
0.189171,-0.064918,0
0.183665,-0.101819,0
0.215407,-0.044721,0
0.155628,-0.169352,0
0.220724,-0.0942383,0
0.173771,-0.179732,0
0.21545,-0.145538,0
0.168939,-0.210617,0
0.0957308,-0.263127,0
0.0640211,-0.282845,0
0.0596898,-0.294002,0
0.00827091,-0.30989,0
-0.0400251,-0.317487,0
-0.0541194,-0.325532,0
0.0167276,-0.339588,0
-0.181762,-0.299103,0
-0.113753,-0.341555,0
-0.00768856,-0.36992,0
-0.233231,-0.300006,0
-0.279627,-0.271862,0
-0.245938,-0.315459,0
-0.31547,-0.261876,0
-0.339746,-0.246926,0
-0.379694,-0.201823,0
-0.412272,-0.153726,0
-0.421838,-0.156692,0
-0.459543,0.0205007,0
-0.469394,0.0238543,0
-0.479206,0.0275917,0
-0.44939,-0.195318,0
-0.445712,0.226585,0
-0.436515,0.263731,0
-0.519723,-0.0169706,0
-0.468783,0.247271,0
-0.523545,0.13229,0
-0.176415,0.520939,0
-0.483106,0.283211,0
-0.308338,0.479404,0
-0.361146,0.453843,0
-0.178817,0.56225,0
-0.355818,0.483108,0
-0.0332499,0.609093,0
-0.110728,0.610032,0
-0.504774,0.376966,0
0.0156395,0.639809,0
0.0542383,0.647733,0
0.150248,0.642671,0
0.582968,0.330225,0
0.187082,0.653758,0
0.310648,0.616115,0
0.274048,0.644125,0
0.500147,0.503937,0
0.150684,0.704056,0
0.613353,0.395852,0
0.738433,-0.0481375,0
0.74874,-0.0434632,0
0.674354,0.350494,0
0.76974,0.0200272,0
0.666749,-0.404779,0
0.712505,-0.341228,0
0.769434,-0.219024,0
0.784495,-0.201661,0
0.81228,0.112253,0
0.811775,-0.172977,0
0.811032,-0.218694,0
0.514501,-0.676601,0
0.345161,-0.787695,0
0.719067,-0.489737,0
0.665618,-0.575633,0
0.338229,-0.823226,0
0.717535,-0.543271,0
0.244552,-0.876524,0
0.425655,-0.815609,0
0.393644,-0.842582,0
0.149975,-0.927959,0
-0.38053,-0.870458,0
-0.084516,-0.956272,0
-0.23531,-0.941026,0
-0.0397959,-0.979192,0
-0.404304,-0.90368,0
-0,-0,1
-0.0031024,-0.00950658,1
-0.012858,-0.015319,1
-0.0257938,-0.0153192,1
-0.0338881,-0.0212508,1
-0.0270395,-0.0420579,1
-0.0474627,-0.0367055,1
-0.069987,-0.00135084,1
-0.0752725,-0.0270935,1
-0.0876901,-0.0202594,1
-0.0943544,-0.0331247,1
-0.109936,-0.00374422,1
-0.119189,0.0139309,1
-0.122662,0.0430585,1
-0.129566,0.0530352,1
-0.113385,0.0982031,1
-0.118183,0.107855,1
-0.130894,0.108474,1
-0.0868821,0.157644,1
-0.120093,0.147233,1
-0.0733004,0.186083,1
-0.090778,0.189366,1
-0.0284613,0.218151,1
-0.129022,0.190403,1
-0.0918301,0.221737,1
-0.0107761,0.249768,1
-0.0447814,0.256114,1
6.61486e-06,0.27,1
-0.0363774,0.277627,1
0.0725184,0.280787,1
0.143542,0.263431,1
0.181182,0.251541,1
0.191807,0.256145,1
0.218704,0.247121,1
0.32634,0.0954068,1
0.2951,0.188192,1
0.297241,0.203096,1
0.256097,0.267048,1
0.351288,0.144903,1
0.365063,0.137219,1
0.390528,0.0865314,1
0.408632,0.0334682,1
0.393622,0.146498,1
0.399725,-0.158493,1
0.365586,0.244841,1
0.381504,-0.238652,1
0.407779,-0.212876,1
0.469135,-0.0284962,1
0.367998,-0.308184,1
0.264685,-0.412361,1
-0.0193245,-0.499626,1
0.367935,-0.353163,1
0.0308458,-0.519084,1
0.18212,-0.497727,1
0.286428,-0.457776,1
0.143809,-0.530866,1
0.0913248,-0.552503,1
-0.0515681,-0.567663,1
0.133372,-0.564457,1
-0.347075,-0.477115,1
0.15775,-0.578891,1
-0.222186,-0.568096,1
-0.51406,-0.346615,1
-0.221663,-0.589717,1
-0.501872,-0.397146,1
-0.418475,-0.497372,1
-0.461007,-0.472305,1
-0.314164,-0.591778,1
-0.533747,-0.421324,1
-0.688397,-0.0470113,1
-0.691421,-0.109257,1
-0.51282,-0.491035,1
-0.718524,0.0460854,1
-0.723763,-0.0952235,1
