Feature1,Feature2,Feature3,R,G,B
0.9502577950303904,0.8233956602342514,0.18818972470748074,199,241,9
0.43272369809343814,0.5516091858059364,0.19415032769231533,190,71,254
0.816248913674545,0.5729120240727609,0.7962750461845387,179,9,207
0.9113115008434424,0.18741262041701345,0.24982507671397836,207,107,49
0.5829913700939703,0.5810545900060903,0.3380653401756819,206,243,81
0.03266848105164255,0.4831547189369969,0.8292073781074151,46,198,113
0.0064773141006667645,0.6635636665856952,0.4206838491340641,196,160,118
0.003808834134908956,0.05267914046563826,0.5115062368456622,177,112,208
0.44515542032678923,0.8114180579203052,0.08100085250115607,62,171,82
0.09109888770254038,0.6280589088285224,0.14200233067878953,36,62,232
0.7130517234232425,0.28242505442379606,0.1709558684876259,155,171,15
0.4504093041628564,0.1312357361738825,0.11865707009604365,78,192,139
0.5918142598103893,0.1759363054237687,0.9751367589849856,112,6,43
0.8361954544988965,0.9006071115694495,0.3066317954055122,60,105,11
0.7620756801596887,0.4269309953380718,0.47225746898983334,76,202,220
0.4160520974727929,0.9125441561846815,0.4083820216874714,243,53,82
0.9173928793473703,0.49575579541046133,0.8575753620778332,195,30,19
0.11095140128591086,0.6260360828164184,0.7492667436718522,83,32,245
0.9659708793302719,0.9909937916853209,0.8460395924859508,182,252,223
0.9694866192956141,0.5029763548284685,0.28004202833556613,107,146,236
0.8510915794482571,0.14232536638439675,0.5430510924662837,106,152,169
0.916681043908958,0.806754714491443,0.9517760232766812,7,162,48
0.08643156173831912,0.709945495990948,0.0413336819048612,82,11,230
0.8349115902940729,0.8608767054542429,0.5932312837997314,116,96,73
0.7855215425243914,0.5534825864398757,0.40645520170527183,25,239,242
0.18148356769460416,0.6398391298837287,0.259773648301563,29,118,122
0.08648747840420945,0.24690592717422455,0.7991136367406853,59,135,112
0.04926603880011449,0.22869045767307217,0.7820652149622266,229,39,54
0.5541761027902979,0.17368625683237304,0.015169126317211012,49,172,27
0.5335081833853718,0.915279524533491,0.592712775441028,137,171,147
0.29037281235561674,0.9345649589372145,0.5589110409083042,42,224,253
0.36449335222217305,0.5165488496294557,0.9818487640769473,129,218,127
0.4365649526158293,0.13731958922055088,0.8374137071333969,10,149,78
0.8815979987753345,0.649303135692799,0.913677315450613,141,91,110
0.6094668472928185,0.40589717185872065,0.8955127267079219,199,179,161
0.9854970151997686,0.9386878149798076,0.45174591975456313,171,103,181
0.7548330728381492,0.9870405691014742,0.3283080134974129,244,210,61
0.9831196831622866,0.13427884939555335,0.5299155839994126,63,148,91
0.7827101295995157,0.09823257271768226,0.43128540866883225,34,253,133
0.10991211795438671,0.5636887929778422,0.5522839015689383,187,172,93
0.042733695955787354,0.023648193451962563,0.17420262076937043,172,239,95
0.3507502041854409,0.17903881666292076,0.26280689415095015,218,150,194
0.43631673022373485,0.9447593507406205,0.49580279234449276,145,157,29
0.10377423500522487,0.7139523110482291,0.5337185778445752,97,92,85
0.08491500897023774,0.9696393381466688,0.40704423280327573,92,113,121
0.5905650525136549,0.5647745197635747,0.6820000569206837,252,144,41
0.08069490513827215,0.7302748881990773,0.5786843283759225,222,254,23
0.873580617232517,0.1252635102038916,0.28120595912078594,213,74,7
0.9797605921951097,0.7908983636447929,0.412453327393586,15,175,160
0.7969902911594879,0.3380761864535564,0.5180394582351137,53,173,37
0.5898636942425006,0.0941810100817787,0.49401488683925676,195,38,15
0.769847412902605,0.778416649223643,0.35003022039938625,225,9,211
0.8794253050032353,0.013632355069806423,0.6172306827137357,76,124,186
0.30267403515228375,0.9585410346627383,0.9261237870684831,127,156,58
0.7482238498333944,0.5933400425047718,0.11037270294289059,93,226,182
0.4160966087460839,0.18964610837189788,0.5970296524662667,179,80,208
0.45275893273917833,0.9446532186450646,0.1400080867096284,111,85,77
0.49202926210389664,0.9531885676632196,0.14506181092211645,0,56,203
0.7175122925149937,0.769816023208155,0.5731709297041265,255,69,142
0.7798319376041817,0.617756472539108,0.9563028703322208,106,123,201
0.09522048293912033,0.09733616060217132,0.4242262215711088,42,11,33
0.9649526284615959,0.9318425978631809,0.44902731688246766,127,223,198
0.03519810537384227,0.171976489922958,0.39032794434802376,129,176,55
0.47285846134333487,0.7623172356625862,0.4985194985436914,111,175,93
0.8033492757554828,0.8650850964745518,0.28463037183662865,211,177,111
0.1008772508221597,0.9963535388062429,0.02549607725529035,17,239,176
0.3847335676909577,0.7549542052644989,0.026555688194166427,185,220,116
0.9572515963051744,0.7425259105396985,0.8992061189489381,90,106,211
0.5675269517358744,0.06346029775118034,0.24851788445004475,224,111,165
0.12469245199982382,0.39227504825742654,0.6983354119471009,218,138,20
0.6697442915580307,0.5811713528808256,0.2178254683847488,194,55,3
0.1943881685531177,0.23354139696740228,0.1371360678861232,210,36,92
0.4026784263810862,0.648202179394809,0.5752413364245186,215,243,98
0.5646865698548713,0.9805209836799671,0.615227742812605,158,196,184
0.5227942143472484,0.6685438184304768,0.8905482001897256,93,7,14
0.8952141163636098,0.5639795559630078,0.06406712220572675,236,54,110
0.7721452919457656,0.263702964955555,0.649683134532635,59,251,96
0.943992026028358,0.20738726121805418,0.007114114679062755,196,6,229
0.4735441912042361,0.9597936160616265,0.03398329489678331,78,86,63
0.6702687497773836,0.5683838303045347,0.6360781526258721,4,95,57
0.449144685592903,0.8658245969734932,0.9166156007763909,8,27,21
0.31791900970321807,0.8111726924248075,0.7164442828538646,32,161,104
0.21910099025260443,0.4720878393667358,0.4100439128773036,182,57,244
0.6464556218370598,0.5376479306990262,0.9294788102006757,141,217,10
0.9890942836465159,0.7087335557902886,0.17409300949106,106,30,157
0.18542444035365147,0.9379252509553401,0.735887511071323,142,81,118
0.18609997156821523,0.2609416131668504,0.16878357664385235,85,233,140
0.07604598872707458,0.03046959481376066,0.21863585598086155,18,229,122
0.3702674463507636,0.41342105721723355,0.04683568534980398,127,17,244
0.6422124597343319,0.30428311491172244,0.7766698272332847,126,238,217
0.008376030583842953,0.6814582978304103,0.13474377632486145,51,154,111
0.46269180558418044,0.7957875093064763,0.9615976416507296,25,31,187
0.018322054041479796,0.5435801126928499,0.3425672692201682,150,222,210
0.003955974127178741,0.7071008328823462,0.1701020275585946,190,169,227
0.9186915640852183,0.8028831996267265,0.6495251270601416,80,206,196
0.49185398052836127,0.03644700532541856,0.07143907543409933,125,113,195
0.7630922055836418,0.526751657791086,0.1368386411637207,230,218,66
0.8158096424315753,0.1011194318979407,0.7487563159432217,69,94,142
0.7158993966115536,0.766838486992779,0.885896451157042,137,22,67
0.1047856563627464,0.740058878863933,0.7563868797584732,209,185,248
0.5163809087856646,0.2463037390734809,0.06391052850481005,110,237,204
0.5985147311590967,0.47420572287083185,0.70020163866771,214,198,50
0.555081276046307,0.5650838100555494,0.1074514434608046,51,221,27
0.8573846124041725,0.3463454428159226,0.11736945742177496,216,185,250
0.9696637057396948,0.31095087263116994,0.8037764493873902,144,171,174
